Name,Full name,Description,Location,Coordinates,URL,Version,DNSSEC validation,No logs,Namecoin,Resolver address,Provider name,Provider public key,Provider public key TXT record
meganerd,meganerd,DNSCrypt server by MegaNerd.nl (IPv4) - https://meganerd.nl/encrypted-dns-server,,,,2,yes,yes,no,136.244.97.114,2.dnscrypt-cert.meganerd,FCAA:DC70:4E5E:E360:BBA1:4EE2:953B:D528:BA09:357A:90F0:FCE4:D03A:0138:6BFF:AB62,
meganerd-ipv6,meganerd-ipv6,DNSCrypt server by MegaNerd.nl (IPv6) - https://meganerd.nl/encrypted-dns-server,,,,2,yes,yes,no,[2001:19f0:5001:cbb:5400:3ff:fe07:f70d],2.dnscrypt-cert.meganerd,FCAA:DC70:4E5E:E360:BBA1:4EE2:953B:D528:BA09:357A:90F0:FCE4:D03A:0138:6BFF:AB62,
moulticast-ca-ipv4,moulticast-ca-ipv4,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in Canada | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,149.56.14.159,2.dnscrypt-cert.moulticast-ca,82A5:4D42:BB30:CE80:9CFB:DDE1:767A:2623:4530:9580:B7AB:CD25:47DF:BBF4:C102:DF15,
moulticast-ca-ipv6,moulticast-ca-ipv6,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in Canada | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,[2607:5300:201:3100::3dfb],2.dnscrypt-cert.moulticast-ca,82A5:4D42:BB30:CE80:9CFB:DDE1:767A:2623:4530:9580:B7AB:CD25:47DF:BBF4:C102:DF15,
moulticast-de-ipv4,moulticast-de-ipv4,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in Germany | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,51.195.117.26,2.dnscrypt-cert.moulticast-de,2343:76CB:DF97:ABFF:B955:B178:DEBC:45EA:ED74:455E:4BA6:1069:45A4:D135:9B80:3A70,
moulticast-fr-ipv4,moulticast-fr-ipv4,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in France | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,193.200.43.25,2.dnscrypt-cert.moulticast-fr,75A8:4407:12D5:32EC:033D:EB95:9496:CE16:BAC3:CA91:DDAC:0972:226E:C5AC:380F:C8C8,
moulticast-ipv6,moulticast-ipv6,Public | Non-filtering | Non-logging | DNSSEC aware | Anycast | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,[2001:678:d08:ff::54],2.dnscrypt-cert.dnscrypt.moulticast.net,3BD5:5C47:DC89:8841:D8F7:E9B1:A60B:43CD:6EDA:5627:002F:3626:2A06:AB45:1BD5:EF7C,
moulticast-sg-ipv4,moulticast-sg-ipv4,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in Singapore | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,51.79.158.183,2.dnscrypt-cert.moulticast-sg,2F87:DEDB:2411:2349:6308:C7B4:E738:5299:E286:633F:A2CC:A563:C84D:38D0:EBEA:FA05,
moulticast-sg-ipv6,moulticast-sg-ipv6,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in Singapore | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,[2402:1f00:8000:800::12ba],2.dnscrypt-cert.moulticast-sg,2F87:DEDB:2411:2349:6308:C7B4:E738:5299:E286:633F:A2CC:A563:C84D:38D0:EBEA:FA05,
moulticast-uk-ipv4,moulticast-uk-ipv4,Public | Non-filtering | Non-logging | DNSSEC aware | Hosted in UK | Operated by @herver (Github) | https://moulticast.net/dnscrypt/,,,,2,yes,yes,no,51.195.200.182,2.dnscrypt-cert.moulticast-uk,E745:7B83:8BAD:1FE4:08A0:BEF2:8986:B399:B2E6:AC48:C818:2495:D599:A125:2662:F08D,
opennic-fische,opennic-fische,OpenNIC • Non-logging • DNSSEC,,,,2,yes,yes,no,78.47.243.3:1053,2.dnscrypt-cert.ns1.fische.io,3780:806D:40D1:F9BD:EE24:9315:CDF0:9D2F:D8AF:555E:ECF3:0461:89F2:D13D:605F:4A64,
opennic-luggs,opennic-luggs,Public DNS server in Canada operated by Luggs,,,,2,no,yes,no,142.4.204.111,2.dnscrypt-cert.ns3.ca.luggs.co,1C19:7933:1BE8:23CC:CF08:9A79:0693:7E5C:3410:2A56:AC7F:6270:E046:25B2:EDDB:04E3,
opennic-luggs2,opennic-luggs2,Second public DNS server in Canada operated by Luggs,,,,2,no,yes,no,142.4.205.47,2.dnscrypt-cert.ns4.ca.luggs.co,BCBF:B7E0:50C1:3DA2:422C:00B0:B1AC:9AD6:48C5:C264:BCB6:170B:883D:718A:C86E:BA09,
oszx,oszx,Secure DNS Project by PumpleX - Hosted in the UK by OVH,,,,2,no,yes,no,51.38.83.141:5353,2.dnscrypt-cert.oszx.co,CC26:F7FA:18C3:6E8F:E092:15A0:3849:FF99:050D:D371:5F59:1EE1:F133:2F55:796F:0123,
plan9-dns,plan9-dns,"Resolver in New Jersey, USA. DNSCrypt protocol. Non-logging, non-filtering, DNSSEC, anonymized.",,,,2,yes,yes,no,173.199.126.35,2.dnscrypt-cert.plan9-dns,92F0:1F7C:FCF8:6E93:0F21:24EB:25CC:986C:6EB2:CEE7:19F1:6790:7AED:9B85:4E49:CF52,
publicarray-au,publicarray-au,DNSSEC • OpenNIC • Non-logging • Uncensored - hosted on vultr.com,,,,2,yes,yes,no,45.76.113.31,2.dnscrypt-cert.dns.seby.io,0854:6878:8BA7:8A5E:A945:EA8F:4583:DD9C:803D:9670:3BCA:409E:EFFD:6AB8:5EB4:2C56,
publicarray-au2,publicarray-au2,DNSSEC • OpenNIC • Non-logging • Uncensored - hosted on ovh.com.au,,,,2,yes,yes,no,139.99.222.72:8443,2.dnscrypt-cert.dns.seby.io,87F2:AF51:05CE:9288:8EBF:B416:08BB:27E4:875D:C2DD:4683:855F:A4FD:DDD7:B295:8C34,
pwoss.org-dnscrypt,pwoss.org-dnscrypt,"No filter | No logs | DNSSEC | Nuremberg, Germany (netcup) | Maintained by https://pwoss.org/ (Dan)",,,,2,yes,yes,no,45.142.176.170:4434,2.dnscrypt-cert.pwoss.org,645F:054E:4B85:545C:3A60:FE71:F327:5E6E:74DB:F0E3:4FED:38BA:3F42:B544:4CA1:5078,
quad9-dnscrypt-ip4-filter-pri,quad9-dnscrypt-ip4-filter-pri,Quad9 (anycast) dnssec/no-log/filter 9.9.9.9 / 149.112.112.9,,,,2,yes,yes,no,9.9.9.9:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
quad9-dnscrypt-ip4-nofilter-pri,quad9-dnscrypt-ip4-nofilter-pri,Quad9 (anycast) no-dnssec/no-log/no-filter 9.9.9.10 / 149.112.112.10,,,,2,no,yes,no,9.9.9.10:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
quad9-dnscrypt-ip6-filter-pri,quad9-dnscrypt-ip6-filter-pri,Quad9 (anycast) dnssec/no-log/filter 2620:fe::fe:9 / 2620:fe::9,,,,2,yes,yes,no,[2620:fe::fe:9]:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
quad9-dnscrypt-ip6-nofilter-pri,quad9-dnscrypt-ip6-nofilter-pri,Quad9 (anycast) no-dnssec/no-log/no-filter 2620:fe::10 / 2620:fe::fe:10,,,,2,no,yes,no,[2620:fe::10]:8443,2.dnscrypt-cert.quad9.net,67C8:47B8:C875:8CD1:2024:5543:BE75:6746:DF34:DF1D:84C0:0B8C:4703:68DF:821D:863E,
safesurfer,safesurfer,"Family safety focused blocklist for over 2 million adult sites, as well as phishing and malware and more.",,,,2,yes,yes,no,104.197.28.121,2.dnscrypt-cert.safesurfer.co.nz,2720:7FD5:1204:E836:7B48:3400:5DF9:FFD1:D30B:BE2A:9C33:639E:6EDB:F8AE:D91D:40D8,
sarpel-dns-istanbul,sarpel-dns-istanbul,No-filter | No-logs | Uncensored | Hosted in Istanbul(Turkey) on Cloudeos,,,,2,yes,yes,no,185.153.249.239,2.dnscrypt-cert.185-153-249-239.inf.cloudeos.net,E45C:6BEA:70C3:BA4D:A2C9:5129:2BE3:D8C6:717B:E34F:7AB5:6728:8EF8:ECBA:B84F:B8D2,
scaleway-ams,scaleway-ams,DNSSEC/Non-logged/Uncensored in Amsterdam - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,51.15.122.250,2.dnscrypt-cert.scaleway-ams,E90D:D97D:AA5C:6C78:221C:A2C5:ED01:6896:2D13:CB55:6CCF:7457:B354:546F:152B:C190,
scaleway-ams-ipv6,scaleway-ams-ipv6,DNSSEC/Non-logged/Uncensored in Amsterdam - IPv6 only - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,[2001:bc8:1820:50d::1],2.dnscrypt-cert.scaleway-ams,E90D:D97D:AA5C:6C78:221C:A2C5:ED01:6896:2D13:CB55:6CCF:7457:B354:546F:152B:C190,
scaleway-fr,scaleway-fr,DNSSEC/Non-logged/Uncensored in Paris - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,212.47.228.136,2.dnscrypt-cert.fr.dnscrypt.org,E801:B84E:A606:BFB0:BAC0:CE43:445B:B15E:BA64:B02F:A3C4:AA31:AE10:636A:0790:324D,
scaleway-fr-ipv6,scaleway-fr-ipv6,DNSSEC/Non-logged/Uncensored in Paris - IPv6 only - DEV1-S instance donated by Scaleway.com,,,,2,yes,yes,no,[2001:bc8:47b0:1a01::1],2.dnscrypt-cert.fr.dnscrypt.org,E801:B84E:A606:BFB0:BAC0:CE43:445B:B15E:BA64:B02F:A3C4:AA31:AE10:636A:0790:324D,
serbica,serbica,Public DNSCrypt server in the Netherlands by https://litepay.ch,,,,2,yes,yes,no,185.66.143.178:5353,2.dnscrypt-cert.serbica,F98D:8C42:618E:5E28:2000:42AE:94DF:884C:6127:FCA8:F74C:83F5:50AD:57DB:0877:A3BC,
sfw.scaleway-fr,sfw.scaleway-fr,"Uses deep learning to block adult websites. Free, DNSSEC, no logs.",,,,2,yes,yes,no,163.172.180.125,2.dnscrypt-cert.sfw.scaleway-fr,DF62:73BF:C752:192A:8B5A:39BC:0C85:AC3F:F964:45D7:3644:F662:7282:5D35:58F1:A1FF,
sth-dnscrypt-se,sth-dnscrypt-se,"Resolver in Stockholm, Sweden. DNSCrypt server. Non-logging, non-filtering, DNSSEC.",,,,2,yes,yes,no,45.153.187.96:4343,2.dnscrypt-cert.sth-dnscrypt-se,BC13:88F5:763E:3DEC:75F1:C90F:C915:BFB6:8AEA:DFEB:1C45:F698:5180:639C:60E7:F162,
v.dnscrypt.uk-ipv4,v.dnscrypt.uk-ipv4,"DNSCrypt v2, no logs, uncensored, DNSSEC. Hosted in London UK on Vultr",,,,2,yes,yes,no,104.238.186.192,2.dnscrypt-cert.v.dnscrypt.uk,ED49:3D8C:EAD7:9066:4F06:3C47:B795:9A23:692D:7C90:363C:9E43:CCB5:917B:E5B4:1EE5,
v.dnscrypt.uk-ipv6,v.dnscrypt.uk-ipv6,"DNSCrypt v2, no logs, uncensored, DNSSEC. Hosted in London UK on Vultr",,,,2,yes,yes,no,[2001:19f0:7402:1574:5400:2ff:fe66:2cff],2.dnscrypt-cert.v.dnscrypt.uk,ED49:3D8C:EAD7:9066:4F06:3C47:B795:9A23:692D:7C90:363C:9E43:CCB5:917B:E5B4:1EE5,
ventricle.us,ventricle.us,Public DNSCrypt resolver provided by Jacob Henner,,,,2,yes,yes,no,107.170.57.34,2.dnscrypt-cert.dnscrypt.ventricle.us,E985:F118:AD4E:3CC6:5FF2:2520:1890:C6F5:58B7:5B5A:52F5:6B17:CFEA:C100:5C8B:9BAA,
yandex,yandex,Yandex public DNS server (anycast),,,,2,no,no,no,77.88.8.78:15353,2.dnscrypt-cert.browser.yandex.net,D384:C071:C9F7:4662:AF2A:CCD5:7B5D:CC97:14D4:07B6:AD36:01E1:AEDC:06D5:6D49:6327,
yepdns-dnscrypt-sg-ipv4,yepdns-dnscrypt-sg-ipv4,Filtering | DNSSEC | No-logs | Singapore | https://get.yepdns.com/,,,,2,yes,yes,no,94.237.68.80:8443,2.dnscrypt-cert.yepdns-sg,7A31:61CD:6C78:FDFC:47B6:12C4:89C4:E4EC:64A9:A256:8146:DF9D:C428:5914:CBC2:F3E3,
zackptg5-us-il-ipv4,zackptg5-us-il-ipv4,"DNSSEC/unfiltered/non-logged. Hosted on Vultr in Chicago, IL. Running the official Docker image by @zackptg5",,,,2,yes,yes,no,137.220.59.62,2.dnscrypt-cert.zackptg5-us-il,4CD3:230A:1DBB:3833:1E4F:FCD4:0D1E:3257:F2FD:8969:EA5D:3CB2:32EC:8B78:0416:D1E7,
zackptg5-us-il-ipv6,zackptg5-us-il-ipv6,"DNSSEC/unfiltered/non-logged. Hosted on Vultr in Chicago, IL. Running the official Docker image by @zackptg5",,,,2,yes,yes,no,[2001:19f0:5c01:147e:5400:3ff:fe2a:3b1f],2.dnscrypt-cert.zackptg5-us-il,4CD3:230A:1DBB:3833:1E4F:FCD4:0D1E:3257:F2FD:8969:EA5D:3CB2:32EC:8B78:0416:D1E7,
